target_coverage,selected_count,initial_positive_blockers,positive_blockers_reclassified_as_not_attention,remaining_FN_under_original_label,effective_NPV_after_target_review,deployment_safe_if_review_accepted
0.2,252,4,0,4,0.9841269841269841,False
0.2,252,4,1,3,0.9880952380952381,False
0.2,252,4,2,2,0.9920634920634921,False
0.2,252,4,3,1,0.996031746031746,False
0.2,252,4,4,0,1.0,True
0.3,377,13,0,13,0.9655172413793104,False
0.3,377,13,1,12,0.9681697612732095,False
0.3,377,13,2,11,0.9708222811671088,False
0.3,377,13,3,10,0.9734748010610079,False
0.3,377,13,4,9,0.9761273209549072,False
0.3,377,13,5,8,0.9787798408488063,False
0.3,377,13,6,7,0.9814323607427056,False
0.3,377,13,7,6,0.9840848806366048,False
0.3,377,13,8,5,0.986737400530504,False
0.3,377,13,9,4,0.9893899204244032,False
0.3,377,13,10,3,0.9920424403183024,False
0.3,377,13,11,2,0.9946949602122016,False
0.3,377,13,12,1,0.9973474801061007,False
0.3,377,13,13,0,1.0,True
